pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
2016-07-27,803523,839,22926,"['1cijcg', '1geidf']",599,Y_-z8B_gx-Y,0.21059490620121502,Barack Obama's Presidency: A Mini-Documentary,44,1,"['F8MxP9adPO8', 'NxFkEj7KPC0', 'Lvi8Izju7cs', 'eDOo3v2ntHI', 'uHrvODeA8-E', 'YqVdDCGdKYI', 'd3UCW_AV93M', 'oZH4n6DfcFw', 'S4VoolvEsyQ', 'vnVwvPpdFeY', 'raDyWogvQ2Y', 'UM-Q_zpuJGU', 'fk7lX6TqV7s', '-IW6PwJYcOc', 'VXq6lSJDyLE', 'TO9d16c2XRM', 'eWynt87PaJ0', 'M0FvLkXDKIs', 'fp85zRg2cwg', 'qYl7-RnhfTE']",The Daily Conversation
2017-04-19,5705971,4744,71080,"['1aegif', '1cegif', '1dggif', '1fagif', '1hdgif', '1igbif', '1igcfb', '1igddf', '1igebf', '1igidh', '1igif', '1igjhf']",647,5nIlIPjUsuA,0.646143462208275,Bill O'Reilly Gets the Boot: The Daily Show,135,1,"['Ym1NLvmcl0k', '3mHXn6LwQV0', 'nV5fXPVeZoQ', 'ZbYpi_WbfkI', 'pvXJnukCFoo', 'XIUaRgwJshE', 'GgHRGgViWfY', 'rX8jZTN0CdU', 'QlaeirHJpns', 'c1nIqzwXT-s', '8raaT7SRx18', '0xK1DJ691sE', '7MWxq80oze0', 'z9sDW9ZrHUw', 'NzDhm808oU4', 'mW-C7WE1xOs', '9334QCChovo', 'of7g9u54WsI', 'F2xv4fba65U', 'wyt2vtbQDfM']",The Daily Show with Trevor Noah
2020-04-22,18716,60,623,"['1bhbij', '1edbij', '1gdbij']",945,Rf209HoqkuQ,0.177091171123749,Bill McKibben on Earth Day at 50: We Must Stop Subsidizing Fossil Fuel Industry Wrecking the Planet,37,1,"['QkWSZi4arrc', 'ZF42_zQz_Sk', '_dubZmVM_5o', 'Dfm6mfU5uko', 'd-6EXZ7yM2E', 'AO6XGBfOv88', 'LsB-KUgo9OM', '6bwaGUvPacs', '0Zixm-bB7e4', 'rPSShFPmYS0', 'Xw3SFOfbR84', '72CtMFyAmjs', 'JPXBCww3zNM', 'zQCTeGKHsVc', 'J36xPWBLcG8', 'bfN2JWifLCY', 'UDY5COg2P2c', '-L7o6HtX8Vg', '-dKFKjqAH4A', '0J60_M0KqVg']",Democracy Now!
2019-03-11,30628853,9357,636380,"['1fgged', '1heged', '1jgged']",592,bF014EUJrSI,0.11965619670523601,The David Beckham Statue Prank,25,1,"['GecuV2XFpn8', 'Z1VEG7Ku2Ys', 'G1wsCworwWk', 'jIic9_ZhyC8', 'pCjY3ZQY8WY', 'N41_uJ8AnmI', 'CENV73zxBeA', 'xcaIxo1DICA', 'lzQyH-nX0u0', 'whazGEt3p9c', '7EV4Go2TlNY', 'Et0bG8V1cCk', 'z7xQT7SZvzc', 'x7ScgcF0LUw', 'rdkzZRd0B-4', 'qk0UqFTHfn8', 'vXXgyGmTc-Y', 'UEg6TDklBuE', '8atgsWFfDOg']",The Late Late Show with James Corden
2017-08-17,96584,19,600,['1efjeg'],450,UQH6QKEjT0E,0.052648726550303004,Malaska Golf // Player Lessons with Tour Pro Julie Yang // Open vs. Shut at top of Swing,11,1,"['IE-KcPNkoZI', 'esq3DV7zqI0', 'UNkUryf1yJY', 'huSFazfYBNU', 'jq4a5e92ee4', '2V6-n-bRPn8', 'ZiTTHzsgbgs', 'ZmiTKswtKLE', 't7RrP1DtM3o', 'JycJVeHZWqk', 'cCRsU7OAJqg', 'eAxKS82W2E0', 'LqjnKH_BcOk', '_11aiNK_wyw', '4tRrnk5htoI', 'tvjQHEhn5kU', '--MlMXYTAZc', 'VycDFpggg4Q']",Malaska Golf
2020-04-23,10626,34,1490,"['1bdgia', '1ehgia', '1gcgia']",251,2X1Tgmsv9Ao,0.13880118817807302,Cuomo To Anti-Lockdown Protesters: 'What's Worse Than Death?' | NowThis,29,1,"['z-kL3BrGqc4', 't3p8DSaXGgA', 'VlD8Mjxigws', '-DvFq9ptvEs', 'sv8QVgCxa1M', 'mdTLTcq3upY', '8qmfCTNNhVM', 'ffEVhvIrbC8', 'te0VvoXP7YM', 'XE7N6mm4cd4', 'aA-GoeFGyIc', 'MRYtk_xzt6Q', 'yCjSTbuRiHg', 'ien97HT7Wpk', '7-c-ZOMyLs8', '4X4ean5LBgQ', '6NjCitwKJSQ', '0WKp9HQZsn4', 'pAUlOF1l73w', '0Zixm-bB7e4']",NowThis News
2020-02-28,122249,118,1592,['1ijhic'],335,gJu2uj6zXaQ,0.06700747015493201,Partisan shouting match breaks out at Pompeo hearing,14,1,"['bvmE2X31IUI', 'Ye7CFpxCS3Q', 'aLU11AXWvXE', 'S3gT3Z5AsUY', 'JCpbg_ycAlU', 'jhi2icRXbHo', 'Fl0ZqjbFmqE', 'OKifiMcnnek', 'oWnHQCG2Lso', 'vewZiPakg1g', 'HCwrt_byj3M', '6wm-NtMkqz8', '_p5X4aH2h9M', '6hO--nH0xBg', '3gtduF5RtFE', 'yCJsS5d2Eqo', 'BTIfGFJqLko', 'EezE9g7zJ_A', 'k-HFXjrVKyM', 'wD8AwgO0AQI']",Roll Call
2020-03-02,3416699,1540,73503,['1jiebd'],387,71sj1LVELoc,0.043076230813885,The Worst Evil Henchman of All Time - Key & Peele,9,1,"['NQNAdgo91JE', 'qxucL_6MrDM', 'BuYLZigga7U', 'c2PM_5LFgqc', 'StrAy4c_VRw', 'rxhKrtb3XsE', '4kV4l0Ovcg8', '3-jv7doUI8o', 'EXPPSQhUVss', 'Nbq6Wfh9fi4', 'YevjfzV4-qQ', 'QmzaPC-iRhQ', 'XDzpzYzp9HE', 'CI_mFIfFars', 'Be9IfJxHyDY', 'TLnUJzueBOQ', 'Ie4YyBbkUrw', '3HI5CQ4Oc1I', 'pSDTmJtE-Bc']",Key & Peele
2014-08-07,1845777,1708,29418,"['1giced', '1gjjed']",940,pHIT2f1l_MQ,0.110083700968817,Whistleblower: NSA Goal Is 'Total Population Control',23,1,"['hIXhnWUmMvw', 'AJ1V00eut3s', 'e9yK1QndJSM', '0hLjuVyIIrs', 'BwyDCHf5iCY', 'k5OAjnveyJo', 'h8IEtlOVzq4', 'bSAgHvETNSg', '7-c-ZOMyLs8', '3PrY7nFbwAY', 'Le_rfTdayLs', '9w-5ulM2_98', 'rVdCG5dTNws', '3zGdTvyg3HM', '-UO3Wd5urg0', '-6lGG7OE3-0', 'SQDEDR0JXdE', 'yqEFMYVLWgo', 'MuMzmvQ_cV0', 'h-qzqOhDc_0']",CBN News
2020-04-20,1726501,1135,9891,"['1aabji', '1abcdi', '1abji', '1bbbji', '1bbddi', '1bcbji', '1bcdi', '1bibji', '1biddi', '1bjadi', '1bjbji', '1bji', '1bjifi', '1bjije', '1cabji', '1cbcdi', '1cbji', '1ccbji', '1dabji', '1dbbji', '1dibji', '1eehdi', '1eibji', '1eiddi', '1ffbji', '1gfbji', '1gfgdi', '1ggifi', '1ghdji', '1ghfdi', '1habji', '1hgbji', '1hjbji']",1273,QwPLPK1ax3c,1.364080642439691,"NBC Nightly News Broadcast (Full) - April 20th, 2020 | NBC Nightly News",285,1,"['72CtMFyAmjs', 'yD6nm7IBDmM', 'LFpGw3jFmEo', 'dRFbwjwQ4VE', '0Zixm-bB7e4', 'KyOxKyupxhM', 'Bmvxx_YbDsM', 'jJlgGhTN5Ls', 'YOU5-1CUQO8', 'G1TC3pR9PFY', '-L7o6HtX8Vg', 'VPavIjOEL_I', 'hIv7YJ0UrlM', 'd-6EXZ7yM2E', 'z4bw4dOtANo', '5oQbCOz9nlU', 'Y0bbpYfvtsg', '6kboQBS1_pc', 'zu60uj0_-Nw', 'VNP30CyV7qo']",NBC News
