channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
Joe Biden,2,1654,1090,QxhsV_6dWVs,[],459,1.0,2,2020-03-14,"['d3UCW_AV93M', 'Qhrv-2q17-k', 'aA-GoeFGyIc', 'NxFkEj7KPC0', 'XojPKzDyZ30', 'S5vOKKMipSA', '1ayIJed2dn4', 'fCNuPcf8L00', 'BWO6i8cH8SA', 'Bmvxx_YbDsM', '7Z2XRg3dy9k', 'N77AXnJ8Bsw', 'oQNKGaufVQ4', '04wyGK6k6HE', 'lgA0fjztqaQ', 'IAJS6Dx5-Cs', 'e9yK1QndJSM', '-SoZcjMWxm8', 'rs2RlZQVXBU', 'RDJW0CMWUa0']",Illinois Virtual Town Hall | Joe Biden For President,34905
CBC News,1,1959,2230,d3UCW_AV93M,[],36247,0.5,1,2017-01-13,"['NxFkEj7KPC0', 'a9a8Yrp-H5M', 'AmuYJck_ux4', 'yaQZFhrW0fU', '3Sa8G-VR13Q', '_iyIbbxVzrU', 'eZDfztfau9A', 'Q32RFwyxHSc', 'UM-Q_zpuJGU', 'CuzLdMPbKl8', 'fp85zRg2cwg', 'raDyWogvQ2Y', 'UTWvhpd6Qpo', 'BTIfGFJqLko', 'mEH9kVbNX3A', 'egWupVOBlMQ', 'ls31TkGSQGA', 'BWO6i8cH8SA', 'J9ZucDSx19Q', 'Qbel5MhtDq4']","Obama surprises VP, Joe Biden with Presidential Medal of Freedom",3239033
Washington Post,1,106,0,Qhrv-2q17-k,[],452,1.0,2,2020-03-15,"['VmqO_p0F5bk', '4IM-02VpUsE', 'UVSWUDrAVHk', 'JvEas_zZ4fM', 'KLorOXVyKlM', 'F4MSI-nDMMw', 'Y7nZ4mw4mXw', 'BYfN74P98UU', 'Ls0ZormAOhU', 'BWO6i8cH8SA', 'c09m5f7Gnic', 'Uj8UKPDziss', 'oCu_djNkkdY', 'EURxiNijtpg', 'fCNuPcf8L00', 'WhDho04nvT0', 'ycrqXJYf1SU', 'jB4FUHHMI24', 'RDJW0CMWUa0', 'BYTFk34nhoI']",WATCH: California Governor Gavin Newsom gives update on coronavirus,-1
NJ.com,1,1003,858,XojPKzDyZ30,[],9176,0.5,1,2015-04-01,"['riRfNBsoOnc', 'HVxbEMQvpdw', 'KQrxsh1HQCs', 'u9OZ8xHTX7c', 'CkdpzRDxTXU', 'SiijS_9hPkM', 'PkuTm-ON904', 'Bmvxx_YbDsM', '4FMVu5jTtPg', 's6k1HUuXIdA', 'xJhkX74D10M', 'QZKx26irnFo', 's7gDXtRS0jo', 'ygtFc3eR6So', 'XPp7xyD8wjc', 'DeN_Qm-dCiw', '46iuflJWtYE', 'v5DEROUA568', 'SmQ1Zq9DfwU', 'HvyQ-PMjtnQ']",Gov. Christie spars with teacher at Kenilworth Town Hall,1043415
Vox,1,2426,2208,S5vOKKMipSA,[],40033,0.5,1,2015-07-28,"['td7Dcsco-WY', '16S2lQn5xgs', 'AyAK3QBnMGQ', 'bLY45o6rHm0', 's8VOM8ET1WU', 'SGJ5cZnoodY', '-qfI3DZmmQw', 'Qhrv-2q17-k', 'waeXBCUkuL8', '04wyGK6k6HE', '_unE0NsfrIs', 'RBKhpV6MYto', 'e9yK1QndJSM', 'M0FvLkXDKIs', 'vnMYL8sF7bQ', 'nK2IlTweyLQ', 'luTPMHC7zHY', 'QlaeirHJpns', 'z6J3ROV4IPc', 'c09m5f7Gnic']",Bernie Sanders: The Vox Conversation,1777243
Global News,1,22994,1957,NxFkEj7KPC0,[],291766,1.5,3,2016-04-30,"['BTIfGFJqLko', '4IM-02VpUsE', 'lbf6WVy5y-c', 'BWO6i8cH8SA', 'UM-Q_zpuJGU', '-SoZcjMWxm8', 'jiMUoVjQ5uI', 'HA7sP47e8tA', 'raDyWogvQ2Y', 'c09m5f7Gnic', 'WoJsV4KsgGQ', 'd3UCW_AV93M', 'DHLRj1LaPiQ', 'mW-C7WE1xOs', 'fp85zRg2cwg', 'ln3wAdRAim4', 'QlaeirHJpns', 'iH1ZJVqJO3Y', 'JJSod2YwbrA', 'mEH9kVbNX3A']","""Obama out:"" President Barack Obama's hilarious final White House correspondents' dinner speech",32910900
The Daily Show with Trevor Noah,1,3193,563,BWO6i8cH8SA,[],74852,3.0,6,2020-03-12,"['4IlwdyacDZg', 'xecEV4dSAXE', 'RDJW0CMWUa0', 'vlxmiFF85yU', 'VmqO_p0F5bk', '-SoZcjMWxm8', 'XEVlyP4_11M', 'QlaeirHJpns', 'S115wW0VwX0', 'jB4FUHHMI24', 'gWTAxF412NA', 'JovtmKFxi3c', 'jRrq_zkUT8E', 'c09m5f7Gnic', 'mD97kJVCOXM', 'Ls0ZormAOhU', 'SgXdS-hvVE8', '0tkyqjvMrnU', 'aKhPbVN_Rbw', 'Qhrv-2q17-k']","Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",3794487
CBS News,1,3141,951,Bmvxx_YbDsM,[],41838,1.0,2,2016-10-20,"['NxFkEj7KPC0', 'ye0Xblp_Nb0', 'BWO6i8cH8SA', '31FR-XA1ZRU', 'dVxVDDYwNvU', 'y2Gl9H3iyQw', 'GUCy75CA3Aw', 'xxjT7nK0Q9k', 'BTIfGFJqLko', 's7gDXtRS0jo', 'HA7sP47e8tA', 'DBhrSdjePkk', '9LR6EA91zLo', 'xQpmSBpXvN8', 'SQ-5kOHoRAo', 'H4ThZcq1oJQ', 'rStsx8SGsPc', 'sixBIE7geWQ', 'lgYTCHrWkxI', 'Z97_qDsrqgU']",Trump roasts Clinton at Al Smith charity dinner,3325429
Guardian News,1,766,901,fCNuPcf8L00,[],12732,1.0,2,2020-02-06,"['M-fMr0-zlA8', '2vUxHLtYgbw', '-KiZRyhPyN0', 'BWO6i8cH8SA', 'oI4-_MX7i6M', 'R4137USRJYI', '-SoZcjMWxm8', 'XV_W6kPqR9U', 'KGC3kMUlYw0', '7cf5JuJ-tdg', '8KFQx-mc2Ao', 'RcjHq7E0mGw', 'NxFkEj7KPC0', '8GNInLhL2zA', 'CkbBXE9ZNAk', 'TmNSlF7lcaw', '8Wesj0VvT1Q', 'PyxPM-g6U2g', 'YAV_0s1c2V4', 'CxtPUwHhG8c']",Julia Gillard misogyny speech voted most unforgettable Australian TV moment: watch in full,343534
,1,-1,-1,1ayIJed2dn4,[],-1,0.5,1,,[],,-1
Sky News Australia,1,505,406,aA-GoeFGyIc,[],18419,0.5,1,2020-03-12,"['oQNKGaufVQ4', '-avpx8UTakI', 'fCNuPcf8L00', 'amrmuJ1PlDE', '5D8vw43a1Q8', '6ZIdFOfFQ_U', '6FVJlNdr0ho', 'BWO6i8cH8SA', 'PeLeNhix2pk', 'SCM92K0RiLk', 'JKeG1iJNxGs', '_FzuwGCXY34', '8Ytw1gVYVL8', '-SoZcjMWxm8', 'mmQTCfy_VQU', '7jx0dTYUO5E', '7OBlffJbBEQ', 'fE5LQejXcyg', 'jiJ0Sw9d7Yc', 'c09m5f7Gnic']",'Biden's cognitive issues can no longer be ignored',491620
