channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
The Daily Show with Trevor Noah,1,2847,381,vpD0k9oebI4,[],68103,1.181366047745358,7,2020-01-13,"['Vm7PxxNhROg', 'kIwTOCwYke4', 'Y_MwpagOWo0', 'V6UxhDPzbsE', 'M9zI009t_QY', 'QlaeirHJpns', 'BWO6i8cH8SA', 'rfmQbGuk7Jk', 'YAr7O8-iRgQ', 'yhB9D06_ef4', 'NEoOJ0uRskY', 'gWTAxF412NA', 'pes5F6EJlP0', '6iYlAL8W1Gk', 'wK3ETTZUO6M', 'OTWkeN2Gyz8', '_qZNksTX4zk', 'd1rHsI-g3z4', '0xK1DJ691sE', 'AmuYJck_ux4']",Harry and Meghan’s Royal Exit Explained | The Daily Show,3754297
FRONTLINE PBS | Official,1,164,2824,iWLF5pmPF24,[],849,0.16876657824933602,1,2017-10-25,"['1iWbvJhbPaA', 'qxF_CDDJ0YI', 'QozGSS7QY_U', 'ADIQNtfEg2Y', 'yIibXQU_dgo', 'RAAMPiF_BSg', '8X7Ng75e5gQ', 'hee-CPpZhwc', 'bBsC9ey_H-s', '9bgkBrFoOOo', '3KyKP_l3oMw', 'UNlckwWHvSY', 'gAzM2wpGsqY', 'eXXnCUQAx0E', 'b1HWNcLDK88', '-QfzQ8g5ai4', 'RtVeN-MXEFc', 'RVVfJVj5z8s', 'qlSxPouPCIM', '8GAw6dvh8v4']",The Putin Files: James Clapper,144984
CNN,1,4220,588,5kpWkjlR3OQ,[],11740,0.16876657824933602,1,2019-10-15,"['jrh1C0HSRhM', 'hYmlzB7AIWM', '7Orjss318Io', 's9ovOwl5Cns', 'jU_qMv4o1nI', 'H4ThZcq1oJQ', 'rs2RlZQVXBU', 'y9PRgDzLdx4', 'KQrxsh1HQCs', 'QZKx26irnFo', 'VbjC4uKXbvE', 'fricqR4t28Q', 'RbQjqSvL1YE', 'anDy97Q8qwI', '_066dEkycr4', 'Yw9Yx0XowZc', '2O-iLk1G_ng', 'VNjZHZ7kpM0', 'nK2IlTweyLQ', 'p4ozAACcc8I']",Bernie Sanders said billionaires shouldn't exist. See billionaire's response,1118803
The Daily Show with Trevor Noah,1,4819,983,anDy97Q8qwI,[],59991,1.012599469496021,6,2020-02-17,"['AmuYJck_ux4', '8Poi5x0E2CM', 's6MwGeOm8iI', '_hfMNTnBM4I', 'V6UxhDPzbsE', 'nK2IlTweyLQ', 'wD8AwgO0AQI', 'N-iCaO-hxAk', 'iaqcwyZPuKg', 'RVVfJVj5z8s', 'OTWkeN2Gyz8', 'mh45igK4Esw', 'xecEV4dSAXE', 'wK3ETTZUO6M', 'TBau85UzUFI', 'VHq6xauQOcs', 'F2xv4fba65U', 'YAr7O8-iRgQ', 'r6jO0kwPMDE', 'yhB9D06_ef4']",Getting to Know Bernie Sanders | The Daily Show,3298946
60 Minutes Australia,1,3575,2961,Cm1j1fpldkc,[],29286,1.012599469496021,6,2018-05-13,"['IooUYvy5h0o', '0cS1SMptlnQ', 'vk6zUNhB2eY', 'VQOOxOl9l80', 'Y7nZ4mw4mXw', '1Yp91zKBGgY', 'Sy70uRIBcxc', '9PuHjyny9lE', 'Dmw0evr6uvI', 'N6Pj8aS9oZ0', 'ycrqXJYf1SU', 'zdR-I35Ladk', 'BtXpbSX9IPQ', 'inebLA3HqPo', '2fS9ixfQ_no', 'Myalj0M8wms', '46DEVQ8UacA', '7W-xxpXzAC0', 'ciMtfRNbMqQ', '4nfdSp5ljHw']",MH370: The Situation Room - What really happened to the missing Boeing 777 | 60 Minutes Australia,5343659
Blitzking1807,1,572,3532,foWMmY3xSuk,[],9733,0.16876657824933602,1,2012-10-21,"['mhxLuG7qtwA', 'E9iXG4Rkdv4', 'pvtf_UBYKbY', '3gjZLmUExIY', 'mh45igK4Esw', 'n0SVSC2SNZg', '0f-j1ctaQqw', 'XNQjLimT2Qs', '7q4w7Ibhrek', '1jFMroHSi0Y', 'JLgeFQXBrlE', 'w-eX4sZi-Zs', 'inebLA3HqPo', 'CxK2AZXPqf8', 'vrl5PFB35Ec', 'OzH3MuxGVls', 'Qyp5JLtdi90', 'RVVfJVj5z8s', 'z_9LgojTdhg', '_FsQwkLys6U']","Peter Jones How we made our Millions - Full (Michelle Mone, Richard Reed)",1861295
This Morning,1,713,395,ItFchh-vPgY,[],17355,0.33753315649867305,2,2016-10-26,"['auqJwx2h0hU', 'f5NJQiY9AuY', '8VJ2ltCN4eo', 'sjJ28VRY0tc', 'qG3eNG2rO7o', 'GzUUghxDhYM', 'P9YTKb5PgR0', 'qnSnEgtP6DM', 'aSL-iIskEFU', 'KlV0fyDC3Gc', 'tPe_r7vkBuc', '6V6Gir1Dyfs', 'xY_AW4IuK4c', 'ftBJYbY1PG0', 'Svd6J0zR_to', 'ojSVcf1atNs', '9AEMKudv5p0', 's7O3oCWZgjE', 'iXu44FFGOpw', 'zPx5N6Lh3sw']",Bill Gates Talks Dropping Out Of College And Reveals His Biggest Extravagance | This Morning,1692515
Fox News,1,132,0,3gjPFelN1vY,[],2999,10.80106100795756,64,2020-03-19,"['MIUs08PZcdo', 'L5EHxsuPSl8', 'PmZdfsRyJt8', '4qm_6TXnWhM', 'mtw4SPeoHOA', 'qee-7D8bucw', 'KXL6HoBIsAo', 'LpaD0LMIyW0', 'oQNKGaufVQ4', 'Yu9jpEmzymU', 'L0Z-u-5aiGU', '8A9lkLZd65o', '2BSB8i3Upv8', 'f0KMz_AUBFM', 'x95743VsFlc', 'LJ04O1Yz1So', '9UTvLwv28wY', 'JvEas_zZ4fM', '5XzPkTd0eos', 'Jm7_QprC-fs']",Live: Trump speaks to governors at FEMA headquarters,-1
60 Minutes Australia,1,1429,3022,9PuHjyny9lE,[],12609,1.5188992042440321,9,2019-07-28,"['VQOOxOl9l80', '4_NppxAt_cY', '36SpZxgHc3U', 'GESBI9pWWmI', '2IdII_n28e0', 'zdR-I35Ladk', 'T7jYmtqOsl0', '1PUceq7Vzmc', '1Yp91zKBGgY', 'CcCRs0Ic3FI', 'Y7nZ4mw4mXw', 'JmqV2vIXpUY', 'xQF7RDSjQYQ', 'Cm1j1fpldkc', 'ycrqXJYf1SU', '9aUbSHbSi-k', 'SbUTHDxhmME', 'Ts70LHeJXU4', '4PIHI--96F8', '9lQLXArjNs8']","EXCLUSIVE: Crown Casino exposed. Sex trafficking, drugs, money laundering | 60 Minutes Australia",2201983
Free Documentary,1,628,2822,y0zArm4FR1Y,[],9342,0.33753315649867305,2,2019-08-30,"['ZgSYtUyKf0U', 'E80BEm699N4', 'dYUCMOnq-bA', '82S914f4sR4', 'Ts70LHeJXU4', '5dxFhf5LgtE', 'rRKOCKsIZUc', 'v4wKipsqN_Y', 'JXdOvC5wg8Q', 'gIGOVKseZmk', 'C8XGd7Lg5GM', 'go5Wk39JgsA', 'pTqLXGcShtc', 'E_6b_cwuB6A', 'kfCQC9Nkj4Y', 'vOnbng4UlwE', 'UBO6DpfEpQA', 'ODslIxJWQ8U', 'SuJGXTFDqj8', 'OXNAPGoScUs']",Monster Tower | World Record Building Demolition | BlowDown | S02 E03 | Free Documentary,1377860
Yahoo Finance,1,2,0,YdTyWPEQWGk,[],4,0.50629973474801,3,2020-03-19,"['STgLXeWeGdk', 'pEoFpVO89hE', 'BpFTU0zBYac', 'g3rxz64koOU', 'yDWJtSsTnNM', 'MIUs08PZcdo', 'vyFF_-4J-vI', 'Lmbx3kpOS9k', 'wYqnfM6JBgc', '6bhCLkpf9mU', '_066dEkycr4', 'zj3ttaiSgvs', 'BWO6i8cH8SA', 'c09m5f7Gnic', 'yhB9D06_ef4', 'RFxXl9eAWV4', '3gjPFelN1vY', 'LkrD76wl0Mo', 'kf1Ax4FxUoM', 'JvEas_zZ4fM']",LIVE: NYC Mayor de Blasio delivers update on New York City's coronavirus response,-1
60 Minutes Australia,1,6122,2717,VQOOxOl9l80,[],62911,2.193965517241379,13,2019-11-10,"['jORH_jMzc2k', 'N6Pj8aS9oZ0', '9PuHjyny9lE', 'GESBI9pWWmI', 'CcCRs0Ic3FI', '3K3fy5eKeuM', '-L6j2KIUZ5Y', 'MB9TvB7ermE', 'zXt99I_F5Sg', '4nfdSp5ljHw', 'QtBS8COhhhM', 'Myalj0M8wms', 'Y7nZ4mw4mXw', 'u1dkmlEqfZo', '7AhlAewFuqY', 'xSF-Q2zvZzI', 'ukyE4rdg7Zg', '4z4YtquTJjM', 'ycrqXJYf1SU', 'zdR-I35Ladk']",Exposing Jeffrey Epstein's international sex trafficking ring | 60 Minutes Australia,6487599
TODAY,1,1075,466,q-rVcaFSfSA,[],13269,0.50629973474801,3,2020-03-05,"['55scb67iaIo', '0Wp-NYHuUrs', 'Zl0V-OhZYk4', 'HSVqpWkoK30', 'UQrtkKG9iXw', 'eeY-FVia1Vg', 'yyDh_ZDZpys', 'JioCLVLXtHM', '5CRxyHU9Oxo', 'OuMXwBlG9g4', 'YxnArzOdFKA', 'Y7nZ4mw4mXw', 'oTY0PpLArR8', 'TAafDOqfN3M', '-uPEu9bvRAI', 'fWj_oE7qzkk', 'yYs-82Y-644', 'i8_Zivs90pM', 'zkH2rLIeU7A', 'YDmOEPI4-8Y']",Coronavirus Shopping List: What You May Need To Have On Hand | TODAY,1332021
Vox,1,4240,621,M0FvLkXDKIs,[],40840,0.33753315649867305,2,2017-01-17,"['lKsSFaOY6xw', '9AEMKudv5p0', 'C_lY_XD6aVA', '7ds2eh2_Un0', 'YEGpriv2TAc', '38DY30I73lg', 'ylLTMYt24lA', 'sOo_aw-xgHQ', 'TImO_RquoW8', 'C-7fzHy3aG0', 'N8nR8_T4o2w', 'BShvYeyMm_Y', 'ba63OVl1MHw', 'hr932RsrE-k', 's8VOM8ET1WU', 'eqceHviNBC4', 'V7eqoL18zwg', 'c4dNH-Nb2Ow', 'KpamjJtXqFI', '1PjNlBV-_s8']",Obamacare in Trump country,3358584
PBS NewsHour,1,2361,6270,JovtmKFxi3c,[],7468,0.843832891246684,5,2019-11-22,"['SGJ5cZnoodY', 'cnVhL5XdCYA', '7W-xxpXzAC0', '3K3fy5eKeuM', 'L5EHxsuPSl8', 'zdR-I35Ladk', 'dJ88U_gsEXk', 'egWupVOBlMQ', 'Y7nZ4mw4mXw', 'a0WJ1CyC2IQ', 'RVVfJVj5z8s', 'QozGSS7QY_U', 'RAAMPiF_BSg', 'h8IEtlOVzq4', '-7ff7fbZO5Q', 'BzCqQKnF9Oo', '6ubscmDpZJc', 'JHDkALRz5Rk', 'SnMBYMOTwEs', 'VQOOxOl9l80']",China: Power and Prosperity -- Watch the full documentary,1211744
Fox Business,1,210,1005,kkdW_id99Lo,[],1319,0.16876657824933602,1,2020-03-19,"['L5EHxsuPSl8', 'R2QTLqXFelQ', 'b-wOI0fPEaw', 'yhB9D06_ef4', '3gjPFelN1vY', 'nDFoF3izhGQ', 'c09m5f7Gnic', 'o783-zkcX8Q', 'BWO6i8cH8SA', 'mtw4SPeoHOA', 'Lg21s8INQXM', 'uH3LqegZ8eQ', '_066dEkycr4', 'k1uYh9Wn0Fc', 'bCnT2owc1Z8', '96mGu-Xmjjo', '-SoZcjMWxm8', 'C1sbp5oyVh4', 'MIUs08PZcdo', 'BwyDCHf5iCY']",Mnuchin on the Fed and Trump's efforts to protect the US economy,55270
