"","channel","V1","N","news_source"
"173","Mark Felton Productions",173,2,NA
"174","Mark Rober",174,1,NA
"175","Metafora Production",175,1,NA
"176","Military Videos",176,1,NA
"177","Mind Field",177,4,NA
"178","Minds Eye Design",178,2,NA
"179","Mitch Manly",179,1,NA
"180","Montemayor",180,1,NA
"181","Motivation Madness",181,1,NA
"182","MulliganBrothers",182,1,NA
"183","NASA",183,12,"NASA"
"184","NASA Jet Propulsion Laboratory",184,1,NA
"185","NASA Video",185,1,NA
"186","NBC New York",186,1,NA
"187","NBC News",187,16,"NBC News"
"188","NCASVideo",188,1,NA
"189","NETNebraska",189,1,NA
"190","Naked Science",190,3,NA
"191","Nat Geo Abu Dhabi",191,1,NA
"192","National Geographic",192,1,"National Geographic"
"193","Ninja Nerd Science",193,1,NA
"194","NowThis News",194,3,NA
"195","Oscar Boyson",195,1,NA
"196","OxfordUnion",196,1,"OxfordUnion"
"197","PA3DMI",197,1,NA
"198","PBS",198,1,NA
"199","PBS Eons",199,12,NA
"200","PBS NewsHour",200,9,NA
"201","Panama Canal",201,1,NA
"202","Paul Hicks",202,1,NA
"203","Performance Coaching",203,1,NA
"204","Perimeter Institute for Theoretical Physics",204,3,NA
"205","Periodic Videos",205,3,NA
"206","Permaculturenews",206,1,NA
"207","Peter Zachar",207,1,NA
"208","PierceCollegeDist11",208,1,NA
"209","Plasticized Doc",209,1,NA
"210","Politics and Prose",210,2,"Politics and Prose"
"211","Poly-glot-a-lot",211,1,NA
"212","PolyMatter",212,1,NA
"213","PowerfulJRE",213,18,NA
"214","Prairie Public",214,1,NA
"215","Prince Ea",215,1,NA
"216","Principles by Ray Dalio",216,1,NA
"217","Professor Dave Explains",217,2,NA
"218","Public Health Collaboration",218,1,NA
"219","Quantum Gravity Research",219,2,NA
"220","RT Documentary",220,1,NA
"221","ReaganFoundation",221,5,NA
"222","Real Crusades History",222,1,NA
"223","Real Royalty",223,1,NA
"224","Real Stories",224,1,NA
"225","RealLifeLore",225,2,NA
"226","ReasonTV",226,2,NA
"227","Reel Truth Science Documentaries",227,2,NA
"228","Republic World",228,1,"Republic World"
"229","Rive Monsters 7",229,1,NA
"230","SBS Dateline",230,4,NA
"231","SMIT Salvage | Towage",231,1,NA
"232","Saint Louis Chess Club",232,1,NA
"233","Saint-Hubert",233,1,NA
"234","Salt Lake City",234,1,NA
"235","SandRhoman History",235,3,NA
"236","Santa Fe Institute",236,1,NA
"237","Savory Institute",237,1,NA
"238","SciShow",238,1,NA
