channel,key
HooverInstitution,141
Fox News,119
Vox,64
DDPmeetings,48
PBS NewsHour,47
Yahoo Finance,44
TopherField,40
CNN,39
TEDx Talks,36
NBC News,34
CBS News,29
Institute of Public Affairs,28
CBN News,23
FOX 10 Phoenix,21
CNBC Television,20
Stanford,18
Liberty University,18
TED,15
NowThis News,14
NBC New York,13
Fox Business,9
ABC News,9
Talks at Google,9
vpro documentary,9
ReaganFoundation,9
