channel,key
Fox News,4284
LastWeekTonight,1731
MSNBC,1670
NBC News,1522
CNBC Television,1016
Global News,770
ITV News,708
The Sun,611
Yahoo Finance,394
TIME,378
Guardian News,315
PBS NewsHour,307
USA TODAY,306
HooverInstitution,212
TheEllenShow,210
Valuetainment,185
CNBC,184
The Obama White House,164
Reagan Library,162
The Eric Metaxas Radio Show,133
NowThis News,129
CBC News,110
Democracy Now!,110
The Hill,107
Wendover Productions,100
