channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
TEDx Talks,1,4417,686,VNGFep6rncY,['1eacdd'],73,0.355551186262944,5,2014-10-21,"['_VB39Jo8mAQ', 'jobYTQTgeUE', 'MdZAMSyn_As', 'vuIlsN32WaE', 'hqKafI7Amd8', 'GkLlqobr3PY', 'TQMbvJNRpLE', 'luvthTjC0OI', 'zeAEFEXvcBg', 'nVRco_eLjdc', 'JsC9ZHi79jo', 'UUnRKf2CemA', '4-079YIasck', 'PJy8vTu66tE', '9vJRopau0g0', '5MgBikgcWnY', '7TXEZ4tP06c', 'LBvHI1awWaI', 'ZyfE3IvDWR8']",Why the majority is always wrong | Paul Rulkens | TEDxMaastricht,3
NBC News,1,745,3358,BRJIWy0U8Xk,"['1acede', '1adede', '1aebac', '1bbac', '1bbeec', '1bcaac', '1bccec', '1dabac', '1edbde']",3482,3.057740201861318,43,2020-04-25,"['9ZGBENGdBsk', 'oyrdkNEnCJo', 'C92LlAnGScc', 'jyOnfK_UMV4', 'mdaX5vguCDk', 'oi70GcegZYY', 'WArtJv-QdI8', 'QVXO5CT9Xms', 'aNxd2WvIOnA', 'TfIb_UqwtDQ', 'MGju7e0n7t0', 'VV--5ka_M40', 'W2rKwRiIFLc', '1jUVIFfGqcM', 'g23PcWs2zy0', 'DCatrAS5_YI', 'C1iC9z02_UI', 'zjnuUQF4In4', 'ffEVhvIrbC8', '7P_stDcFjAM']",Watch Live: New York Governor Cuomo Holds Coronavirus Briefing,464
The Daily Show with Trevor Noah,1,1544,473,NcSUF8erpfU,"['1abead', '1abebc', '1abec', '1aeaac', '1aead', '1aebbc', '1aebc', '1aebec', '1aec', '1aecac', '1aeccc', '1aecdc', '1aeecc', '1baaad', '1baabc', '1baac', '1bad', '1badac', '1badcc', '1baddc', '1bbbad', '1bbbbc', '1bbbc', '1bbc', '1bbcac', '1bbccc', '1bbcdc', '1bbeac', '1bbebc', '1bbec', '1bc', '1bcabc', '1bcac', '1bcaec', '1bccac', '1bccbc', '1bccc', '1bcdad', '1bcdbc', '1bcdc', '1bcecc', '1becad', '1becbc', '1becc', '1bedcc', '1daaac', '1daad', '1dabbc', '1dabc', '1dabec', '1dac', '1dacac', '1daccc', '1dacdc', '1daecc', '1dbbdc', '1dbebc', '1dcaad', '1dcabc', '1dcac', '1dceac', '1ddbad', '1ddbbc', '1ddbc', '1ddcbc', '1deabc', '1deeac', '1eaddc', '1ebbdc', '1ecbdc', '1ecdad', '1ecdbc', '1ecdc']",34,20.124197142482632,283,2020-04-16,"['_T6fFQTrGN0', 'iyFT8qXcOrM', 'pvDXtJBwXAM', 'jyOnfK_UMV4', 'PpV_5-tCS-c', 'dRFbwjwQ4VE', 'YfHm3TD_7Jk', '1d3QLPdHysc', 'X2pfT-B0kqA', 'mGPaU1D_ICM', 'O93vQQamzAw', 'r2xPTP5hr6o', 'aeT3YOYsvMs', 'ElIf2DBrWzU', 'XlrYiJt9IlQ', 'DFZb2qBIrEw', 'krcHpMdOVAk', 'NAh4uS4f78o', '6UlNnKpShsk', 'ShsfdhChUVM']",What Are the Craziest Coronavirus Conspiracy Theories? | The Daily Social Distancing Show,1
DW Documentary,1,2259,2571,reEZn3mJ-Fo,"['1eaebb', '1edaaa', '1edabb', '1eeaaa', '1eeab', '1eeaca', '1eeaea', '1eebaa', '1eebbb', '1eeebb']",20,3.057740201861318,43,2017-12-29,"['JmqV2vIXpUY', 'StjIv33zJ9c', 'CVuVlk2E_e4', '8wRLQ8MVi0Q', 'inebLA3HqPo', '5iGClYMpcpE', 'i_irOlBJKWc', 'JHDkALRz5Rk', 'lqSoLVkYYu0', '9aUbSHbSi-k', 'dJ88U_gsEXk', 'PdxPCeWw75k', 'PLnYFdAhFLk', 'BSe9JDVczUc', 'O0JOVZsxQXE', '_TReGTYE_gc', 'Gdd7dtDaYmM', '_wox36bFDqE', 'MltgcggG4dk', 'AJUSIWSaQX4']",Visiting North Korea | DW Documentary,4
MSNBC,1,18,451,phsU1vVHOQI,"['1aecbd', '1badbd', '1bbcbd', '1bcbd', '1bcead', '1dacbd']",86,2.559968541093197,36,2017-09-15,"['0B4nS1-ScYw', 'tHv0RExQsPQ', 'jSDj9E2dgWs', 'x4im3M9IFcI', '_QdPW8JrYzQ', 'yE1Lxw5ZyXk', 'sQOAtztz8fc', 'AKgq0rnIR7g', 'NxFkEj7KPC0', 'rFGE3X6Yhj0', 'FEpwkaJQh1k', 'Bmvxx_YbDsM', 'dmHVLp08YaQ', 'YJIX11J1qzk', 'epDqu6Bzvhs', 'hB8icFsfJe0', 'kAIfU5RBBso', 'mmJAcERLGAE', 'e9yK1QndJSM', 'OmhiInYqlTU']",Language Expert: Donald Trump's Way Of Speaking Is 'Oddly Adolescent' | The 11th Hour | MSNBC,12
,1,-1,-1,YwNauU9Hzfo,['1cbebd'],-1,0.28444094901035505,4,,[],,-1
SHProductions,1,5030,626,orrOpW0dmiw,"['1eadbb', '1ebbbb', '1ecbbb']",92,1.13776379604142,16,2017-05-08,"['Zb9dJeV4vg0', '5ZgICeN3Oc8', '4vxrgB9xAJ4', '6LtEO8lYc3k', 'fy7OvAgnRAw', 'iGx43z2_lYo', '7vb4-4OWu1E', 'zSrklyuTlkQ', 'GDIc_HAwnAw', 'glufzmlIc-g', 'lAuZw-ZFSjc', '8F5DxyydnfE', 'al13DoOFp78', 'kCPjif6E03g', 'Pg4bStWrk4M', 'smO1glL1i2c', '-A4ZDZxZWUg', 'R1KcSa39gkI', 'mj51hSuoahs', 'zpwAQAQVZOs']",Most Outstanding Trick Plays in Football History ᴴᴰ,19
Good Morning America,1,18,283,Eb6CEpJ42zI,"['1aabab', '1acaad', '1acccd', '1accdb', '1aceb', '1ad', '1adce', '1adeb']",226,1.8488661685673091,26,2020-04-23,"['DmY28NBeuRY', 'Vsd0bxFtVU0', '_C-NxRVsu8c', 'pJVg98VRBe4', 'gd--hSOB4CA', 'PK00t-igHAE', 'ffEVhvIrbC8', '7P_stDcFjAM', 'WLy-iF2L1JM', 'QHeNKMxsqYE', 'UXv4BIch2Tw', 'xxM4t8vP-0A', 'ly6pz1_AKiE', 'xyY6nR_PyQ8', 'EURuGiaKzOk', 'G9FiKmx06FE', '3Ub6BdLFWyg', 'RTvYgEK3cZg', 'PxDK95Q5qN0', 'va9HnnvRYs0']",Trump pushes back against CDC 2nd wave warning l GMA,11
Good Morning America,1,7,99,bbtzWecGQdM,"['1aabeb', '1aacb']",111,0.497771660768121,7,2020-04-21,"['bnno9YpDhXo', 'o9d-8IH4BBs', 'yRz-Dl60Lfc', 'A9UoFWKIB2Y', 'DPFdV_INZwE', '_2bub1OJFNU', 'ZO3B70GuO6I', 'Va0l3x5J7vE', 'mfsX5UOCGkI', 'JvNN39ab5ds', 'WqfNY1aBBYk', 'DmRhNyzhTlA', 'DSeJGI0tG68', 'RTzsuK4Eq4c', 'Vsd0bxFtVU0', 'D4REzrhZaSQ', 'PpQFoL72iE0', 'K4VIbOxa4Og', 'hx-vNTdG-cY', 'POyUfYE4JAc']",A glimpse at life in Denmark as it slowly enters to new reality l GMA,5712
Reydama,1,421,793,9JC3TzJdDiM,['1eecab'],8278,0.14222047450517702,2,2018-09-01,"['NGQ2TJmTnSQ', '_LWR2tUkkzs', 'fRErdoKpjLM', 'ChlPi2k5JOo', '0NIEHOJsgWQ', 'bzPSUpuFG2Q', 'VqF5uY92ueM', 'mhmrQ9peKcI', '89X7ArI2hgQ', '0eB9cr_MfvU', 'Unn3-bT8FZA', 'rC30Ng88hOM', 'S2akZlD3PSA', 'gCnab3U50LM', 'Qe1BHUum6Qg', 'CqR1j2D60O0', 'YpGg7Bp-qLA', 'KARzc1kIgoM', '4farpo8j_vQ', 'wVMyNJyF0vI']",¡Bobby Fischer vence a un Gran Maestro en 10 movimientos! (Pero Reshevsky sigue jugando),501
