channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
The Late Show with Stephen Colbert,1,388,499,wFKkVvUgUUk,"['1ceg', '1jhe']",10,1.802055164954029,28,2020-04-22,"['zp8qpa3fGxI', 'Zk11vI-7czE', 'c_KeluilBcs', 'r2xPTP5hr6o', 'dRFbwjwQ4VE', 'jyOnfK_UMV4', '0xqZaqf_1BM', 'PxDK95Q5qN0', 'H6rXQFfgqGI', 'hIv7YJ0UrlM', 'D9l1M_6MNxw', 'dNiuaKKEPu8', 'lX4v9Sx99ZY', 'ego7_Y5DECw', '8dUAs40ymag', 'C2pVtOp50YE', 'PIkCzcFLH_s', 'uxv3s7xTYHU', 'zRvqkUoiKJo', '2YNJCfrgTfQ']",Michael Moore's Question For Americans: How Do We Want To Live After This Pandemic?,796
TEDx Talks,1,678,1078,gTZgfyOW-DA,['1fbh'],18,0.19307733910221703,3,2014-06-20,"['gh5VhaicC6g', 'jodhovumkHQ', 'JD4O7ama3o8', 'xuM7ZS7nodk', '4BZuWrdC-9Q', 'EKy19WzkPxE', 'pi4JOlMSWjo', '6FJ5gAN5TK8', 'P3fIZuW9P_M', 'o4Y5Mr8rZ9A', '7vZmOF11P9A', 'vMeEKBaiPbg', 'xp0O2vi8DX4', '-uazFBCDvVw', 'TFbv757kup4', 'lvxJoUuG018', '2xKXLPuju8U', 'bRtBHF-WPpM', 'YpEeSa6zBTE']",Emotional laws are the answer for better relationships: Diana Wais at TEDxThessaloniki,1
MSNBC,1,15,386,HohStgcWYBo,"['1abf', '1eff', '1hf', '1jgf']",152,2.059491617090319,32,2020-04-24,"['g8Hf4uClUyE', 'aNxd2WvIOnA', 'HfBf1hYH3MI', 'C92LlAnGScc', 'JBCicP17ZFY', 'ie3ZEqAsoDU', 'o9d-8IH4BBs', 'r2xPTP5hr6o', 'YJIX11J1qzk', '8cQlqlfXzyk', 'M3w2CrYiBtc', 'B3gy7RbwNak', 'lX4v9Sx99ZY', 'sqI5_jH-AbY', 'TTzwdmpbbHA', '62fawgUUpg8', 'c2IeCyBkFbI', 'f2UBYZkBG1E', '0WuwYdSdjlw', 'ESW4Xzm6R7M']",Health Of Long-Term Care Facilities Crucial To Coronavirus Fight | Rachel Maddow | MSNBC,1650
PBS NewsHour,1,91,3406,7jUoFFgKj9g,"['1bcc', '1bdb']",959,0.7723093564088691,12,2020-04-23,"['zjnuUQF4In4', 'vIbRuNdrn6k', 'AnDJRbwJDpU', 'C92LlAnGScc', 'uI5HlalZOF8', '4DJtjyB1gvE', 'aNxd2WvIOnA', '4FHvzSwXbxg', 'dRFbwjwQ4VE', '72CtMFyAmjs', 'BQ-BX1fI-N0', 'h3Xli0HpdGU', 'D9l1M_6MNxw', '_tlyNJxGgWs', 'KZ-tCc3S8V8', 'QqTcrlwEB0s', 'lX4v9Sx99ZY', 'YJIX11J1qzk', '9fO24XyqBqk', '_rPqUjbPTJE']","PBS NewsHour full episode, Apr 23, 2020",156
,1,-1,-1,iGRU63xKskA,['1bjh'],-1,0.38615467820443405,6,,[],,-1
La Resistencia en Movistar+,1,3121,1251,7b29bya_u2A,['1gda'],91,0.38615467820443405,6,2019-10-10,"['rdq6T1bseo4', 'q9zUXu-KNlw', 'lzxvdhRi8nM', 'CS4fUiYA1xo', 'GGXIR6uzXJM', 'cHMwzsmioi4', 'teAGAJzPvoY', 'w2lIBQXU7do', '8ZPLEx52FLU', 'efJUYhjkFLI', '8emUM2lEngo', 'TnijhEMItQg', 'm2Japz0oJek', 'AKfi2kZyNow', 'dO09WhZ-e2I', 'bqWfNPCqaX4', 'NcXEssY1bAU', 'C-qb0RlOb4c', 'mwRSI1kS6So']",LA RESISTENCIA - Entrevista a Gerard Piqué | #LaResistencia 10.10.2019,3
Guilherme Cardoso,1,1174,7323,jYnllpLJqYc,"['1daf', '1di']",23,0.45051379123850704,7,2018-07-11,"['Gux1xOCrgA4', 'FQZvmEquTuE', 'j3pdNPYRvwk', 'TEItR_ODgZ4', 'ZKFwQFBwQFU', 'MWgQXlSQ7Dk', 'kag0aJqQsGo', 'DUGbROP9EU4', 'jF4wnhFxNA0', 'lR7icNffxXE', 'UK_roxEUj18', '-fQdN9Qa63E', 'XYXMxOAb9RM', 'mVju10GtMXI', 'Q8JIO106JlM', 'PErqizZqLjI', 'T_Dy9OvgjHY', 'GEgSBuYlSoA', '6c_kKL-K9GI']",♫ Música Clássica para estimular o cérebro | Efeito Mozart,3
Jimmy Kimmel Live,1,1839,415,Z0xSdI72ZnQ,['1cgf'],174,0.321795565170362,5,2020-04-06,"['y8cIJ7w4eJ8', 'WTQ6Csx47RM', '7sDdWHI3iWg', 'Va0l3x5J7vE', 'Ya_trIAWIXA', 'sQcVKOFmuXQ', 'VSYjs5RnlRo', '0vgOzy0Mfsw', 'G1wsCworwWk', 'oHLychWng4c', 'WN-IW6wOdnI', 'cyzXgTaU3bo', 'dWLzsjHKnuc', 'KFi-6Zvcmqo', '4H-EnMsOOIM', 'fukx0OR1ao4', 'F2SXmzk8ve4', 'zYKT5EqeqkU', 'QEdOv4VDJrE']",Jimmy & His Kids Play “Who Wants to Be a Millionaire”,3
PensamientoPositivo1,1,601,6586,lk0Tejqzm0Q,['1iji'],7461,0.128718226068144,2,2014-12-27,"['J-JSmHCJDQE', 'SxDtcLhjk5A', 'Z1fiVvzj2-o', 'gVPRagJXXCU', '_JepmHRKPF0', 'XcaeSGFJrM4', 'NTGjwyQ_q3U', 'X83VmvqozjY', '-jaaMdAvoxM', 'FyCSdaQrwNU', 'GEUK0_Dd0DU', '0YkIALPWqeU', 'nqrnxkgY2a4', 'oVMr3i_gIzk', 'tBIZMXiIL8o', 'xf0OUgVRGPw', '38NgWMOprTo', 'HrrtaJMhy3s', 'ydDz_VTQ5Io', 'BlovPfsv5XE']","5 Claves para vivir con abundancia y libertad financiera ⎮Sergio Fernandez, Pensamiento Positivo",521
PBS NewsHour,1,29,2730,4FHvzSwXbxg,['1bdg'],266,0.5792320173066521,9,2020-04-24,"['AnDJRbwJDpU', 'jyOnfK_UMV4', '6xrJy-1_qS4', 'C92LlAnGScc', 'VV--5ka_M40', 'EU_VRWenBlU', 'zjnuUQF4In4', 'vFNpNmIAp_M', 'KyOxKyupxhM', 'Je0BCJ-ri3E', 'Bxryb3xN-Lo', 'uPxct29FqD0', '5PQc7ZXdbng', '_tlyNJxGgWs', 'YJIX11J1qzk', '3MkKDqUWWu8', '8dnPJytDvCc', 'vIbRuNdrn6k', 'C04FJ3OVAEg', '9fO24XyqBqk']","WATCH LIVE: New York governor gives coronavirus update -- April 24, 2020",28
