channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
Phil Collins,1,35,350,pYucWPfJFEw,['2bdebd'],619,0.06455783485605901,1,2016-04-07,"['GHYjpXAWQ0E', '6Hmrc3IzvAA', 'fe5pXR8vkIw', 'afXcX-keJCU', 'qlJ54g6Spx4', '0S_fTDauV34', 'HFjkySrueys', 'DffbA1ITSEE', 'SCVVLTvIfAQ', 'eEVNv-7lkno', 'TqlAT5gi250', 'TocUABa66ig', '8_Xs8nzrrkM', 'QVgqKIpMdoU', 'YcY3FH208l8', 'Y-vj8V522OQ', '5AqJCy6VrB0', 'dYV6KZpnEak']",One More Night,52
DJDiscoCatV2,1,561,461,mp6gaes9TL8,['2beedd'],15,0.193673504568177,3,2013-03-09,"['xGfoY4nno3A', 'p8rIhf6Q1o4', 'YIMzjNm0z9M', 'QcOm-mKBCec', 'deiV8BHs60A', 'JJlTY9BB36U', 'GG7aDbD4wmY', 'lKPLRGkPyGM', 'pPwgmjjfqOU', 'wb4KBQvzm8s', '1S2JlAmDhiE', 'DY7pipZGUkg', 'Mkzw7G7ClHc', 'IcuWyMzdlnM', 'XDvg3wqOm-A', 'FgrZe_2YCdY', 'KJTeJ5BToJw', '0MQ4G821kcw', 'ofcgjeELS0M']","Earth, Wind & Fire ~ September 1978 Disco Purrfection Version",1
Vincent Racaniello,1,6,4135,VVhwrES4CjA,"['2adaae', '2adbe', '2adcdb', '2dbdbe', '2ebdbe']",210,1.743061541113601,27,2020-03-03,"['fBJ0vcOlS7I', 'Kbk-lijqDYA', 'F9TClYS_Ch0', '28gIJ2rrN7I', 'SEYa0R62nWk', 'XaU2lpMcfGU', 'd4SpwHIe6e4', 'XSQWwWq3ofA', '8_bOhZd6ieM', '8jDqUcnBotk', 'r8CBFEyODL8', 'lj3NhPgOoX4', 'mdYTi6yT1Ew', '73nXMQO-new', 'zgg1xqStW7k', '9pw_O9jsJxk', 'jY3axuAm2AA', 'aMvnlAfOWec', 'Tz8PZ4pge2I', 'F0n8SeeC4II']",Virology Lectures 2020 #11: The Infected Cell,12
Alberto Sanagustín,1,290,1471,8tHdS5juE6w,"['2abecd', '2deaad', '2debbd', '2decd', '2edecd']",7192,1.484830201689364,23,2014-11-17,"['97pmhy4ypzg', 'F76mL4rcpLA', 'o6NShagevns', '334vgXZ9U-U', '5vs2unLw3wc', 'VUUyaV14XA0', '5pImaLQTFYI', 'ssuZFukFAPg', 'LbioeVMHRgA', 'QTN5wOE3ufY', 'D-SbJ79b6Ho', 'TTdvcTW1q8k', 'nl3-a00IhoA', '_-WCmdfSQyQ', 'LASmiv8PeYM', '-zoHvQmuPhA', 'P7W_dRp6xYs', 'MU0pbgkq2-s', 'pgiwC_HIYKw', 'a-JBxD3jHvo']",SISTEMA LINFÁTICO ✅ explicado FÁCIL: anatomía y fisiología,471
MedCram - Medical Lectures Explained CLEARLY,1,70,1588,Aj2vB_VITXQ,"['2', '2aa', '2aaaa', '2aaaba', '2aada', '2aadba', '2aaea', '2aaeba', '2aaeda', '2aba', '2abaaa', '2abada', '2abaea', '2abba', '2abbba', '2da', '2daaa', '2daaba', '2dada', '2dadba', '2daea', '2daeba', '2daeda', '2dba', '2dbaaa', '2dbada', '2dbaea', '2dbba', '2dbbba', '2ea', '2eaaa', '2eaaba', '2eada', '2eadba', '2eaea', '2eaeba', '2eaeda', '2eba', '2ebaaa', '2ebada', '2ebaea', '2ebba', '2ebbba', '2eda', '2edaaa', '2edada', '2edaea', '2edba', '2edbba', '2eeaa', '2eeaba']",5056,8.521634200999827,132,2020-04-29,"['22Bn8jsGI54', 'G9KG7_Jd4WE', 'sWTMzu3xpEA', 'DtPwfihjyrY', 'NM2A2xNLWR4', 'PWzbArPgo-o', 'fn2yk5SbGiw', '1grs8axbeE8', 'hIxwizlu4w8', '2U4DAQ3kjRs', '1vZDVbqRhyM', '7i6iCJNS6i8', 'wvSqHONt4tA', 'tyl4Ob522Bw', '4HdLqU50mfk', 'nO4xgcIaPeA', 'Gdd7dtDaYmM', '_wox36bFDqE', 'xBWaWqXZgko', 'O-3Mlj3MQ_Q']",Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,92
Kurzgesagt – In a Nutshell,1,7421,543,7TmcXYp8xu4,['2deeeb'],334,0.193673504568177,3,2017-03-30,"['jAhjPd4uNFY', '8PmM6SUn7Es', 'kP15q815Saw', 'BtN-goy9VOY', 'NxvQPzrg2Wg', 'oakWgLqCwUc', 'ouAccsTzlGU', 'JyECrGp-Sw8', '8HslUzw35mc', 'tlTKTTt47WE', 'zBkVCpbNnkU', 'QsBT5EQt348', 'DHyUYg8X31c', 'DK5kRGs0HX0', 'FfgT6zx4k3Q', 'XxutY7ss1v4', 'YI3tsmFsrOg', 'RS7IzU2VJIQ', 'MYnjzsjeMK8', 'sH4bi60alZU']",¿Son los transgénicos buenos o malos? Ingeniería Genética y nuestra comida,8
Elvis Presley,1,111,183,_TKiuZeJTKA,['2bcaae'],2837,0.193673504568177,3,2020-04-02,"['xt8XQLvKBUs', 'DYwQy_9JPtQ', 'S6ZOe7CxFL0', 'dCwgYCMq11g', 'U-Ooxpz0Eqk', 'b-D5yAAXYng', 'D67lR7Qy_wk', 'Qp6D71kQRhA', 'rgsKm8Ib8No', 'MfrC8PAQtlg', 'c870vA8rd2M', 'qhOHwEqTzJU', 'vkUeWTBH1Kg', 'iObGpqXKBdY', 'IYj2hex99gY', 'ppMZxuZ1lLg', '1K6xyB2-xAk', '1fgnEDi7bq0', '63H0EgTcWFY']",Can't Help Falling in Love,141
,1,-1,-1,4ny3T8p4oH0,"['2bbecb', '2bbede', '2bcaea', '2bccbd', '2bccdb', '2bcedb']",-1,2.194966385106016,34,,[],,-1
Giros Repretel,1,25,1829,fjcur61vyOw,"['2aceab', '2dceab']",320,0.7101361834166521,11,2017-10-03,"['fbVpotU9xYA', 't665K31rWbk', 'MU0pbgkq2-s', 'ICCrqKhoOJ8', 'ogwcRLkjrHY', 'j9__9Oy_Mzo', 'S8R9ez-gDtc', 'Z_C3Jn3PyXc', 'rm70B_L-aEQ', 'V35uFe9Y1RE', 'UbfJIx0nQ7A', 'Z1MZhA8BM_E', 'kYbGu4BMNtg', 'tLbJRqDhXgU', '0GwjJQEHLPM', 'HRc1Q2w9_Po', '-ryfRKT6ugk', 'lTkzg1Snlzo', 'TzNDTsliDxE', 'sR2L7qfwEJU']",¿Cómo se manifiesta un colon sucio? | Salud,17
U2,1,1425,296,XayyES2vO8Q,['2baede'],34,0.06455783485605901,1,2018-09-12,"['kH14IPuAqjQ', 'ftjEcrrf7r0', 'NRtvqT_wMeY', 'e3-5YC_oHjE', 'y6lfK3bH4z8', 'orHkDYNFwEg', 'F7wit8_8SqA', '6cucosmPj-A', 'ZrOKjDZOtkA', 'jl0d0Q7MyzA', '9bDNEuoejsc', 'kaOOfci2YC8', 'WfunypXsBO4', 'G2mBRUJDGgM', 'ujNeHIo7oTE', 'iOA697hoop8', 'ryde_5JlkSQ', '8SbUC-UaAxE', 'QrqPjFyM0wg']",With Or Without You,2
