pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2019-12-14,37,44,827,14380,L_sJscki9dQ,5.293742458196863,NUTRICIÓN Y MICROBIOTA: SU PAPEL EN LAS ENFERMEDADES NEURODEGENERATIVAS,82,1,Escuela de Salud Integrativa,2aaaee
2016-04-07,4,5940,76,290,G9KG7_Jd4WE,6.197552146181692,Wicked Game,96,1,Chris Isaak,2aab
2016-04-07,337,428,4424,254,dadgyrC_038,3.938027926219617,Lie To Me,61,1,Chris Isaak,2aaba
2016-04-07,4,5940,76,290,G9KG7_Jd4WE,6.197552146181692,Wicked Game,96,1,Chris Isaak,2aabaa
2016-04-07,96,68,1027,249,e7ZiRxd5T6o,1.743061541113601,Nothing's Changed,27,1,Chris Isaak,2aabab
2016-06-09,263,387,5122,176,22T65YR63L0,1.032925357696948,"Baby Did a Bad, Bad Thing",16,1,Chris Isaak,2aabac
2018-07-24,1,919,15,424,T-3qF8v9CTw,1.9367350456817791,Brothers In Arms,30,1,Dire Straits - Tema,2aabad
2018-07-31,2,643,28,253,6cucosmPj-A,1.032925357696948,Every Breath You Take,16,1,The Police,2aabae
2019-07-11,16,3489,171,244,xSZBIs0gs0E,3.873470091363558,Natalie Imbruglia - Torn (Official Video) [HD Remastered],60,1,natalieimbrugliaVEVO,2aabb
2012-04-16,26,3840,152,197,v45F0YesdZM,1.420272366833304,""" Kiss Me "" - "" There She Goes "" Version (Official)",22,1,sixpenceofficial,2aabba
2009-10-02,9,1281,42,252,ZwAd_ag9Q0E,1.226598862265126,Natalie Imbruglia - Shiver,19,1,natalieimbrugliaVEVO,2aabbb
2018-10-09,2,766,8853,6247,lmoif5p2oB8,1.162041027409067,Pink Greatest Hits - The Best of Pink Songs - Pink Top Best Hits,18,1,All One,2aabbc
2020-02-06,616,321,10,366,G4yRUO5IR8o,1.8076193759696602,Sinéad O'Connor - Nothing Compares 2 U (Live In Europe 1990),28,1,Sinéad O'Connor,2aabbd
2009-10-07,739,109,2,304,TR3Vdo5etCQ,1.032925357696948,No Doubt - Don't Speak,16,1,NoDoubtTV,2aabbe
2014-09-24,4,1358,73,257,791z7Nb985Y,5.229184623340803,Summer Wine,81,1,Nancy Sinatra - Tema,2aabc
2014-11-07,204,122,1933,443,j73OGO-j6rY,1.872177210825719,Hotel California,29,1,Nancy Sinatra - Tema,2aabca
2014-09-24,455,400,6826,222,J2rfZdqinIA,1.355714531977245,Some Velvet Morning,21,1,Nancy Sinatra - Tema,2aabcb
2016-12-03,2,802,17,490,GG7aDbD4wmY,2.453197724530253,ABBA ~ Dancing Queen 1976 Disco Purrfection Version,38,1,DJDiscoCatV2,2aabcc
2018-07-31,15,10,138,349,cF3OWCYLLVQ,3.034218238234787,Sultans Of Swing,47,1,Dire Straits - Tema,2aabcd
2017-10-18,29,10,211,3218,Kt-tLuszKBA,1.484830201689364,Guardians of the Galaxy Awesome Mix Vol 1  Vol 2 Full Soundtrack,23,1,Felipe Thiesen,2aabce
2019-12-16,25,19,424,296,gdHICpVvlUc,2.840544733666609,Wicked Game (Live 1995),44,1,Chris Isaak,2aabd
2011-01-21,17,3007,132,288,mOjTweUPt3Q,0.83925185312877,Chris Isaak - Wicked Game (Live),13,1,Radial by The Orchard,2aabda
2019-12-16,1506,1,21,403,2ZQx8wsOpNI,0.9683675228408891,Baby Did A Bad Bad Thing (Live 1995),15,1,Chris Isaak,2aabdb
2016-04-07,4,5940,76,290,G9KG7_Jd4WE,6.197552146181692,Wicked Game,96,1,Chris Isaak,2aabdc
2016-06-09,24,5049,180,287,aid2vMbCNP8,1.613945871401482,Wicked Game,25,1,Chris Isaak,2aabdd
2016-01-28,99,160,1558,472,TqlAT5gi250,0.9038096879848301,In The Air Tonight (Live),14,1,Phil Collins,2aabde
2017-02-26,1,663,18,259,pPwgmjjfqOU,3.034218238234787,Smooth Operator,47,1,Sade,2aabe
2017-02-19,3,1074,25,441,gFRWbugvySM,2.001292880537838,No Ordinary Love,31,1,Sade,2aabea
2017-02-19,373,341,4690,271,Mk1cnqIIYYA,0.83925185312877,Hang on to Your Love,13,1,Sade,2aabeb
2014-11-07,2,2093,37,287,l2n167F0eBc,2.3886398896741943,Killing Me Softly with His Song,37,1,Roberta Flack - Tema,2aabec
2015-09-11,4,1240,32,458,r0yI78cFeVs,0.83925185312877,Sade - Smooth Operator (Live 2011),13,1,Sade,2aabed
2016-01-28,3,3308,50,337,8_Xs8nzrrkM,1.5493880365454231,In The Air Tonight,24,1,Phil Collins,2aabee
,-1,-1,-1,-1,sWTMzu3xpEA,3.292449577659024,,51,1,,2aac
2020-04-28,129,76,4861,660,DtPwfihjyrY,8.26340286157559,Coronavirus Pandemic Update 62: Treatment with Famotidine (Pepcid)?,128,1,MedCram - Medical Lectures Explained CLEARLY,2aad
2020-04-29,92,70,5056,1588,Aj2vB_VITXQ,8.521634200999827,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,132,1,MedCram - Medical Lectures Explained CLEARLY,2aada
2020-04-27,221,122,13,1021,22Bn8jsGI54,8.650749870711946,Coronavirus Pandemic Update 61: Blood Clots & Strokes in COVID-19; ACE-2 Receptor; Oxidative Stress,134,1,MedCram - Medical Lectures Explained CLEARLY,2aadaa
2016-04-07,4,5940,76,290,G9KG7_Jd4WE,6.197552146181692,Wicked Game,96,1,Chris Isaak,2aadab
,-1,-1,-1,-1,sWTMzu3xpEA,3.292449577659024,,51,1,,2aadac
2020-04-28,129,76,4861,660,DtPwfihjyrY,8.26340286157559,Coronavirus Pandemic Update 62: Treatment with Famotidine (Pepcid)?,128,1,MedCram - Medical Lectures Explained CLEARLY,2aadad
