pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2019-12-08,379,174,2578,1352,P76TnrXU2Uo,0.517391304347826,J.K.K. (Musim 5) | Episod 10: Penapis Hati,6,1,TV3MALAYSIA Official,2aaccc
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2ab
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2aba
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2abaa
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2abaaa
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2abaab
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2abaac
,-1,-1,-1,-1,AYQ8hT8cVTE,1.379710144927536,,16,1,,2abab
2017-05-08,903,1033,12,959,mSNFKM6S_fM,1.465942028985507,HIPERTENSIÓN ARTERIAL - ÚLTIMOS AVANCES EN DIAGNÓSTICO Y TRATAMIENTO,17,1,Dr. Ariel D. Sabio,2abac
2017-02-22,780,660,10,1683,DHw6Xg75kdM,0.517391304347826,Toma de Presión Arterial - Dr. Luis Conrado Federico Velásquez.,6,1,Universidad CES,2abaca
2019-05-27,46,56,1630,477,PHLHtSnvUxg,0.517391304347826,¿Cómo Revertir la Hipertensión Arterial (Presión Alta)?,6,1,Dr. William Flores,2abacb
,-1,-1,-1,-1,4nUaKQKIQEk,0.6036231884057971,,7,1,,2abacc
2018-08-28,219,92,1198,5249,iBNBCiyBfKc,3.018115942028986,Restu Ramadan | Telefilem,35,1,TV3MALAYSIA Official,2abb
2020-04-23,149,121,1669,5281,YXTrWaoTWyU,2.069565217391304,Ramadan Ini Milik Siapa | Telefilem,24,1,Drama Sangat Official,2abba
2019-05-03,59,42,533,5286,dte0wI_rxIw,2.242028985507246,Ramadan Terindah Nurani | Telefilem,26,1,Drama Sangat Official,2abbaa
2020-04-25,39,34,426,5322,xWBAQa6bWws,1.72463768115942,Pergilah Air Mata Ramadan | Telefilem,20,1,Drama Sangat Official,2abbab
2020-01-05,570,331,3777,5448,_y82MVEZoMI,1.72463768115942,Rindu Cinta Zulaikha | Telefilem 2020,20,1,Mass Tube Channel,2abbac
2019-05-03,59,42,533,5286,dte0wI_rxIw,2.242028985507246,Ramadan Terindah Nurani | Telefilem,26,1,Drama Sangat Official,2abbb
2020-04-25,39,34,426,5322,xWBAQa6bWws,1.72463768115942,Pergilah Air Mata Ramadan | Telefilem,20,1,Drama Sangat Official,2abbba
2019-02-22,426,229,2147,4924,8zQzUy68DUo,0.7760869565217391,Tollgate Asmara | Telefilem,9,1,Drama Sangat Official,2abbbb
2020-04-23,149,121,1669,5281,YXTrWaoTWyU,2.069565217391304,Ramadan Ini Milik Siapa | Telefilem,24,1,Drama Sangat Official,2abbbc
2018-11-15,238,107,1126,5207,sf-7CfyCg-c,1.379710144927536,Syawal Mencari Cinta | Telefilem,16,1,tontonmy,2abbc
2018-11-15,1,717,11,5333,deXcuqQ-vIg,0.6036231884057971,Cruise Cinta Lebaran | Telefilem,7,1,tontonmy,2abbca
2018-09-02,510,214,2571,5280,5jGiQ-gfgPU,0.517391304347826,Vivi Si Perigi | Telefilem,6,1,tontonmy,2abbcb
2019-03-16,676,293,4970,5281,_Ypv9QyYUJQ,0.517391304347826,14 Hari | Telefilem,6,1,TV3MALAYSIA Official,2abbcc
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2abc
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2abca
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2abcaa
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2abcab
2020-04-25,46,19,942,301,HLImQOuSgKY,2.242028985507246,Pak Kodi 5G (2020) | Episod 4,26,1,TV9MALAYSIA Official,2abcac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2abcb
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2abcba
2018-08-28,219,92,1198,5249,iBNBCiyBfKc,3.018115942028986,Restu Ramadan | Telefilem,35,1,TV3MALAYSIA Official,2abcbb
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2abcbc
,-1,-1,-1,-1,F19DM-UADiA,2.069565217391304,,24,1,,2abcc
,-1,-1,-1,-1,F19DM-UADiA,2.069565217391304,,24,1,,2ac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2b
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2ba
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2baa
2020-04-25,16,8,309,301,CHe-nbxCEc0,4.052898550724638,Pak Kodi 5G (2020) | Episod 4,47,1,TV3MALAYSIA Official,2baaa
2020-04-24,38,10,645,300,IZyS9YsXh1E,4.139130434782609,Pak Kodi 5G (2020) | Episod 3,48,1,TV3MALAYSIA Official,2baaaa
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2baaab
,-1,-1,-1,-1,F19DM-UADiA,2.069565217391304,,24,1,,2baaac
2020-04-17,38,10,690,300,AnPjOi8ekZ4,5.001449275362319,Pak Kodi 5G (2020) | Episod 1,58,1,TV3MALAYSIA Official,2baab
2020-04-18,72,26,1091,300,j80ipPfm3iY,2.845652173913043,Pak Kodi 5G (2020) | Episod 2,33,1,TV3MALAYSIA Official,2baaba
