"","unique.alldata5.category."
"1","27"
"2","25"
"3","24"
"4","17"
"5","23"
"6","1"
"7","10"
"8","22"
"9","2"
"10","20"
"11","26"
"12","15"
"13","28"
"14","19"
"15","29"
