Column1,channel,N,media_bias
147,Matt Estlea,1,
148,Merc,1,
149,Middle Ground,1,
151,Mow 1567,1,
152,Mr. Luxury,1,
154,MulliganBrothers,1,
155,NBC,1,
156,NBC Left Field,1,NBC News 
160,NFL,1,
161,NYS Executive Chamber,1,
162,National Constitution Center,1,
163,New York City,1,
164,Newshub,1,
165,Nicki Swift,1,
166,Nicolas Lepage,1,
167,Nik Rijavec,1,
169,OSSA,1,
170,OWN,1,
171,Off Grid Athlete,1,
172,Olivier BOSSARD,1,
173,Oscars,1,
175,PBS,1,PBS News Hour 
177,PTReviewer,1,
178,Passion City Church,1,
179,Pax Aeterna,1,
180,Payments Canada,1,
182,Pete Kanaris GreenDreamsFL,1,
183,PierceCollegeDist11,1,
185,Prey Productions,1,
186,Principles by Ray Dalio,1,
187,ProducerMichael,1,
190,Real Royalty,1,
192,Real Vision Finance,1,
193,RealLifeLore,1,
194,Reallybigmonkey1,1,
196,Rebel HQ,1,
197,Rebel Wisdom,1,
199,Russell Brand,1,
200,SMHCS,1,
202,Saint Louis Chess Club,1,
204,SecretWhispersOfCrime,1,
205,ShirleyFilms,1,
207,Skavlan,1,
208,SkillsUSA,1,
209,Sky News,1,Sky News 
211,Spencer Lent,1,
212,St Petersburg College,1,
214,Stanford Graduate School of Business,1,
215,Strombo,1,
216,Studio 10,1,
221,THE JORDAN HARBINGER SHOW,1,
224,Talks at Google,1,
226,Technique Critique,1,
227,TeeVees Greatest,1,
228,Television Academy,1,
230,The Art Assignment,1,
231,The B1M,1,
232,The Black Swan Group,1,
233,The Brave Ones,1,
234,The City of Irving,1,
237,The Democrats,1,
239,The First World War,1,
241,The Institute of Art and Ideas,1,
246,The Paley Center for Media,1,
247,The Pizza Show,1,
250,The Telegraph,1,
251,The Trigger Mechanism,1,
252,The University of Chicago,1,
253,The University of Edinburgh,1,
254,The University of Melbourne,1,
255,The University of Texas at Austin,1,
258,TheNOFAVT,1,
259,Thom Hartmann Program,1,
260,Tilo Jung,1,
263,Tod's Workshop,1,
264,Top 10 Talent,1,
265,Town Hall Seattle,1,
266,TradingCoachUK,1,
267,Trevor Noah,1,
269,True Stories,1,
270,Turnah81,1,
271,UCD - University College Dublin,1,
272,UNRISD,1,
273,USA TODAY,1,
274,USC,1,
275,Understood,1,
276,Universal Comedy,1,
277,University of California Television (UCTV),1,
278,University of Houston,1,
282,VegSource,1,
283,Viral Now,1,
284,Vox,1,
285,WIRED,1,
287,WXYZ-TV Detroit | Channel 7,1,
288,Wall Street Journal,1,
289,Warren Redlich,1,
292,Watch What Happens Live with Andy Cohen,1,
293,WatchMojo.com,1,
295,What The Fit,1,
298,Yahoo,1,Yahoo News 
300,atlanticphil,1,
301,blacktreetv,1,
302,cmdealernet,1,
303,cocksandballs123,1,
305,criticofgames,1,
306,darkdocumentaries,1,
307,depisicableboy676,1,
308,djvlad,1,
309,euronews (in English),1,Euronews 
310,ideacity,1,
311,judgejudyhighlights7,1,
312,mediasanctuary,1,
313,metaRising,1,
314,pilkipediaTV,1,
