genre,N.video,N.channel,relevant
Education,274,123,1
News & Politics,193,69,1
Science & Technology,153,70,1
Nonprofits & Activism,115,11,1
Entertainment,114,59,0
People & Blogs,62,39,1
Travel & Events,33,23,0
Film & Animation,17,13,0
Howto & Style,15,12,0
Music,11,8,0
Pets & Animals,11,6,0
Autos & Vehicles,6,6,0
Gaming,6,2,0
Comedy,3,3,0
Sports,2,2,0
