genre,N.video,N.channel,relevant
News & Politics,14387,121,1
Entertainment,2319,82,1
Education,848,98,1
People & Blogs,377,78,0
Film & Animation,257,18,0
Howto & Style,222,49,0
Comedy,144,12,1
Music,95,17,0
Travel & Events,93,19,0
Nonprofits & Activism,91,19,1
Science & Technology,81,36,0
,64,1,0
Sports,52,15,0
Autos & Vehicles,28,10,0
Gaming,22,8,0
