pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
2015-01-22,1910050,369,23773,['1add'],1860,npoNbXXS4oQ,0.50735294117647,"Cómo funciona la máquina económica, por Ray Dalio",1,1,"['PHe0bXAIuk0', 'MdqIJBCRavE', 'HLIJkmy3vy8', 'YOckzNTIycw', 'YBNr69vrscw', '7GZLaUKzX60', 'Bhs1_T0ws2c', 'SATnSexqHSg', 'ISgVZQ4nIEM', 'qeUIHxKNqZc', 'vdFJ9lNdpwk', 'JCMYjez93pk', 'HrrtaJMhy3s', 'Ey3esnoXup8', 'V33U1OsFVnQ', 'p0T97UtCkig', 'B9XGUpQZY38', 'fB9g7I9S2dA', '3N6_5XpW_Vk']",Principles by Ray Dalio
2012-08-30,22054178,8959,222102,"['1bbb', '1bdc']",1070,hqKafI7Amd8,1.014705882352941,Top hacker shows us how it's done | Pablos Holman | TEDxMidwest,2,1,"['luvthTjC0OI', '97MWOERY_dE', '5c6AADI7Pb4', '8s3bdVxuFBs', '9vJRopau0g0', 'e4PTvXtz4GM', 'SSH5EY-W5oM', '5MgBikgcWnY', 'VNGFep6rncY', 'Va07q3HFEZQ', 'ORp3q1Oaezw', 'sNzJjlV1TOA', '_VB39Jo8mAQ', 'W3P3rT0j2gQ', 'HfuZJVpNWR4', 'twSvd5bQLDw', '3E46oWB4V0s', 'NXhddUqNNjo', 'd0yGdNEWdn0', 'JsC9ZHi79jo']",TEDx Talks
2019-12-10,2290893,3136,15724,['1dcd'],1827,xDyJkFehDk0,0.50735294117647,How To Levitate | The Edge of Science,1,1,"['a19OpQfwB2w', '0g8lANs6zpQ', 'wxL4ElboiuA', 'qn2x62G5GmM', 'TWCyQSNeymI', 'HESOat2iPzU', 'w0ztlIAYTCU', 'rLZLa-fyt1w', 'd_FEaFgJyfA', 'IesIsKMjB4Y', 'wFqnH2iemIc', 'OI_HFnNTfyU', 'XPUuF_dECVI', 'K49QOM_B8dA', 'KRgurx00G1o', 'xvDuqW9SFT8', 'jiSwvxA5v4Q', 'pCON4zfMzjU', 'IwJzsE8CvzQ']",BBC Earth
2017-01-05,111697,96,1925,['1bab'],1376,mI6IzPCmIW8,0.50735294117647,How Fear of Nuclear Ends | Michael Shellenberger | TEDxCalPoly,1,1,"['N-yALPEpV4w', 'oTKl5X72NIc', 'ciStnd9Y2ak', '7kvB6bR_fu0', 'vuIlsN32WaE', 'd0yGdNEWdn0', 'nRXDYC3TnG4', '2OH1xSaK-mI', 'iXAsirlbFFw', 'VNGFep6rncY', '_Bfcm6s75OA', 'tHO1ebNxhVI', '64UG8fKymNQ', 'T0NFkZc__os', 'hqKafI7Amd8', '3WMuzhQXJoY', '3lTvVTnjU5U', 'IZf6e0ntFrw', 'PJy8vTu66tE']",TEDx Talks
2019-01-08,846018,367,9116,['1adb'],3976,Y1OpbDWp8KY,1.014705882352941,Principles for Success from Ray Dalio: Founder of the World’s Largest Hedge Fund,2,1,"['c1OoWdqbKdg', 'PHe0bXAIuk0', 'jVwna1aO3Dw', 'Mh0vEaac78U', '5MgBikgcWnY', 'B9XGUpQZY38', 'b1Y2Z1BGwno', 'WA1Ji-Hj1qo', 'pydYMkm4OMc', '5C43i3yclec', 'SCCfk2a2O5o', 'PX5-XyBNi00', 'yrxYhv2O3wU', 'HXbsVbFAczg', 'L054Xd97_rk', 'azq0S0DKS50', '7WXidoI9ppw', 'ed2FWNWwE3I', '9RrMcq-zJcU']",Summit
2020-05-01,1536,42,158,['1acc'],3690,dL0XnbWlwBw,0.50735294117647,Watch Live: New York Governor Andrew Cuomo Delivers Briefing On COVID-19 | TIME,1,1,"['JF-kpUr-xYA', 'B4UYaumLy90', '3-B7RIyHLJQ', 'Jn8Fd05K9B4', 'yE1Lxw5ZyXk', 'neV3EPgvZ3g', 'N52yYgoAuB4', '54wtfOnK5Yw', 'WZSQHWUhpFo', 'VB6SIKl8Md0', '3rEVU3h4TSA', 'jLFvjrpOpm8', '7m8k8dHyXnE', 'U8V7JjXGLLc', 'LWsgbgz5euc', 'cCv63fuOdDE', 'DOTNQeEKeDg', 'hSnD30bcAS8', 'lkcjb559NJ4', '5g62jSVJaFI']",TIME
2018-02-22,1029508,527,21387,['1cbb'],2059,c-ErA_acTq8,1.014705882352941,Psychedelica - Psychedelics And Consciousness - S1:Ep1 | Gaia,2,1,"['LHIUcch4ISc', 'iqKdEhx-dD4', 'lyu7v7nWzfo', 'U3lWVLuc6CE', 'LIuuirVAJqQ', 'rPh3c8Sa37M', 'v7KQsS2kLM4', 'arj7oStGLkU', 'Bw9zSMsKcwk', 'tz4CrWE_P0g', 'bj_fdeZi6-M', 'dz0XLVUq3WI', 'cJic9adBquY', 'CVuVlk2E_e4', 'JI1dwVsPw2E', '5DrM90dg5t4', 'S7SQoQj9868', 'lo0X2ZdElQ4', 'E3Qr94E6NpI', 'aXuTt7c3Jkg']",Gaia
2019-02-05,33100,16,344,['1aad'],9816,TswyyjybUjQ,0.50735294117647,"🤖 AlphaStar, l'IA qui botte du pro gamer 🤖",1,1,"['MuP32Sw0rYI', 'pZJ49Tjrz1s', 'KAPnxTZV80M', 'dXhQesq8rLE', 'rSS23yDn9CY', 'm2hErZ7Bg9s', 'OukuwHSsm9w', 'm2A-ckU-ZE8', '_nqJ6PeYwT4', 'N2QEjOKZJnA', 'NROwK_dPMXE', 'h0UBfmOJYO4', 'bHa3E7Wpmuk', 'kbjcWeYl5PE', 'gULgBPCVAD0', 'VnT9ygCZZwQ', 'UyWWMAnmeuc', 'LGqmjS5PC5c']",OG Starcraft II Replays FR
2018-03-13,1601728,1558,54299,['1cd'],666,Nxn2LlBJDl0,0.50735294117647,Stoned Ape & Fungal Intelligence - Paul Stamets,1,2,"['XI5frPV58tY', 'mPqWstVnRjQ', 'eOUWgtbIhgE', 'xvzZ56ZbWy8', 'arj7oStGLkU', 'Ft1waA3p2_w', 'w0ztlIAYTCU', 'lyu7v7nWzfo', 'iBF0hP2_nGw', 'QXWNChoIluo', 'hZeoyYOYgg4', 'SgOTaXhbqPQ', 'y50i1bI2uN4', 'xJ6Ym719urg', 'qvvaD3PSaoI', 'WdQpLDm6c0w', 'MzubNgsQsog', 'D5zDIVkygcM', 'oKiKfAmysrI', 'QgEqQAIpLoo']",After Skool
2019-11-20,3065913,2499,135040,['1dbb'],839,K-Fc08X56R0,0.50735294117647,3 Perplexing Physics Problems,1,1,"['1VPfZ_XzisU', 'ThwuT3_AG6w', 'ovJcsL7vyrk', 'E7uGvsT_nnM', 'dCXkaQa53QQ', 'ZQ--scjcAZ4', 'uCsD3ZGzMgE', 'BZbChKzedEk', '3KC32Vymo0Q', 'fDek6cYijxI', '97t7Xj_iBv0', 'GcdB5bFwio4', 'QRt7LjqJ45k', 'myh94hpFmJY', 'XHGKIzCcVa0', 'f0gMdGrVteI', 'arj7oStGLkU', 'dg3pza4y2ws', 'ZMByI4s-D-Y']",Veritasium
